Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,156,1,Some Random Commen with Id 0
1,0,4,108,8,Some Random Commen with Id 1
2,0,4,124,5,Some Random Commen with Id 2
3,0,4,62,0,Some Random Commen with Id 3
4,1,1,185,9,Some Random Commen with Id 4
5,1,1,60,2,Some Random Commen with Id 5
6,2,9,55,9,Some Random Commen with Id 6
7,2,9,143,9,Some Random Commen with Id 7
8,2,9,126,3,Some Random Commen with Id 8
9,2,9,95,6,Some Random Commen with Id 9
10,2,9,20,4,Some Random Commen with Id 10
11,2,9,190,9,Some Random Commen with Id 11
12,2,9,122,2,Some Random Commen with Id 12
13,2,9,187,0,Some Random Commen with Id 13
14,2,9,176,6,Some Random Commen with Id 14
15,3,0,52,3,Some Random Commen with Id 15
16,3,0,189,9,Some Random Commen with Id 16
17,3,0,57,8,Some Random Commen with Id 17
18,3,0,169,4,Some Random Commen with Id 18
19,3,0,15,1,Some Random Commen with Id 19
20,4,8,171,6,Some Random Commen with Id 20
21,4,8,192,4,Some Random Commen with Id 21
22,4,8,132,8,Some Random Commen with Id 22
23,4,8,138,8,Some Random Commen with Id 23
24,4,8,57,1,Some Random Commen with Id 24
25,4,8,150,9,Some Random Commen with Id 25
26,4,8,170,4,Some Random Commen with Id 26
27,5,4,89,7,Some Random Commen with Id 27
28,5,4,35,9,Some Random Commen with Id 28
29,6,5,9,7,Some Random Commen with Id 29
30,6,5,155,6,Some Random Commen with Id 30
31,6,5,165,1,Some Random Commen with Id 31
32,6,5,152,4,Some Random Commen with Id 32
33,6,5,116,8,Some Random Commen with Id 33
34,7,6,186,5,Some Random Commen with Id 34
35,7,6,140,9,Some Random Commen with Id 35
36,7,6,84,1,Some Random Commen with Id 36
37,8,2,178,7,Some Random Commen with Id 37
38,8,2,9,7,Some Random Commen with Id 38
39,8,2,180,0,Some Random Commen with Id 39
40,8,2,37,1,Some Random Commen with Id 40
41,8,2,128,6,Some Random Commen with Id 41
42,8,2,186,6,Some Random Commen with Id 42
43,8,2,189,8,Some Random Commen with Id 43
44,8,2,27,4,Some Random Commen with Id 44
45,8,2,24,2,Some Random Commen with Id 45
46,9,9,112,0,Some Random Commen with Id 46
47,9,9,176,8,Some Random Commen with Id 47
48,9,9,72,6,Some Random Commen with Id 48
49,9,9,196,7,Some Random Commen with Id 49
50,9,9,40,7,Some Random Commen with Id 50
51,9,9,136,3,Some Random Commen with Id 51
52,9,9,56,3,Some Random Commen with Id 52
53,10,0,67,5,Some Random Commen with Id 53
54,10,0,71,5,Some Random Commen with Id 54
55,10,0,4,8,Some Random Commen with Id 55
56,10,0,72,1,Some Random Commen with Id 56
57,10,0,79,9,Some Random Commen with Id 57
58,10,0,111,6,Some Random Commen with Id 58
59,11,6,75,9,Some Random Commen with Id 59
60,11,6,94,4,Some Random Commen with Id 60
61,11,6,33,8,Some Random Commen with Id 61
62,11,6,14,4,Some Random Commen with Id 62
63,11,6,189,1,Some Random Commen with Id 63
64,11,6,132,7,Some Random Commen with Id 64
65,11,6,9,6,Some Random Commen with Id 65
66,11,6,12,3,Some Random Commen with Id 66
67,12,9,117,9,Some Random Commen with Id 67
68,12,9,124,3,Some Random Commen with Id 68
69,12,9,114,2,Some Random Commen with Id 69
70,12,9,51,9,Some Random Commen with Id 70
71,13,6,122,2,Some Random Commen with Id 71
72,13,6,188,7,Some Random Commen with Id 72
73,13,6,189,8,Some Random Commen with Id 73
74,13,6,106,7,Some Random Commen with Id 74
75,13,6,62,6,Some Random Commen with Id 75
76,13,6,81,8,Some Random Commen with Id 76
77,14,8,91,0,Some Random Commen with Id 77
78,14,8,107,6,Some Random Commen with Id 78
79,15,5,141,0,Some Random Commen with Id 79
80,15,5,168,4,Some Random Commen with Id 80
81,15,5,14,2,Some Random Commen with Id 81
82,15,5,174,7,Some Random Commen with Id 82
83,15,5,70,0,Some Random Commen with Id 83
84,15,5,97,5,Some Random Commen with Id 84
85,15,5,152,6,Some Random Commen with Id 85
86,17,7,48,0,Some Random Commen with Id 86
87,17,7,155,0,Some Random Commen with Id 87
88,17,7,60,6,Some Random Commen with Id 88
89,18,9,8,0,Some Random Commen with Id 89
90,18,9,18,8,Some Random Commen with Id 90
91,18,9,99,3,Some Random Commen with Id 91
92,18,9,163,5,Some Random Commen with Id 92
93,18,9,30,6,Some Random Commen with Id 93
94,19,5,53,7,Some Random Commen with Id 94
95,19,5,198,2,Some Random Commen with Id 95
